symbol,date,buy_price,sell_price,actual_return,predicted_return
000001.SZ,2023-11-20,10.19,10.01,-1.7664376840039229,0.23646074533462524
000001.SZ,2023-11-24,10.1,9.66,-4.356435643564352,0.10209474712610245
000001.SZ,2023-11-27,10.01,9.63,-3.7962037962037862,0.4452930688858032
000007.SZ,2023-11-27,4.89,4.99,2.0449897750511354,0.15104803442955017
000006.SZ,2023-11-28,4.67,4.61,-1.2847965738757947,1.0085352659225464
000001.SZ,2023-11-28,9.95,9.48,-4.72361809045225,0.5888437628746033
000007.SZ,2023-11-29,4.89,4.94,1.022494887525577,0.7392070293426514
000006.SZ,2023-11-29,4.59,4.79,4.357298474945537,0.6271300911903381
000001.SZ,2023-11-29,9.72,9.5,-2.263374485596714,0.5347897410392761
000011.SZ,2023-11-29,9.35,9.44,0.9625668449197846,0.2651591897010803
000016.SZ,2023-11-30,4.21,4.09,-2.8503562945368195,1.2924187183380127
000001.SZ,2023-11-30,9.68,9.44,-2.4793388429752086,0.6881399750709534
920033.BJ,2023-12-01,33.27,35.26,5.981364592726164,4.649239540100098
000001.SZ,2023-12-01,9.66,9.3,-3.726708074534155,0.7934228777885437
000009.SZ,2023-12-01,11.5,11.85,3.0434782608695623,0.7646629810333252
000016.SZ,2023-12-01,4.18,4.02,-3.827751196172252,0.5588582754135132
920033.BJ,2023-12-04,32.92,34.67,5.3159173754556495,3.386145830154419
000001.SZ,2023-12-04,9.63,9.35,-2.9075804776739473,0.7303144931793213
920033.BJ,2023-12-05,34.91,34.4,-1.4608994557433344,1.3421814441680908
000017.SZ,2023-12-05,4.39,4.45,1.3667425968109455,0.8116211891174316
000001.SZ,2023-12-05,9.48,9.42,-0.6329113924050684,0.5047922730445862
000016.SZ,2023-12-05,4.08,4.09,0.24509803921568107,0.11858697980642319
000001.SZ,2023-12-06,9.5,9.16,-3.578947368421051,0.2528104782104492
000007.SZ,2023-12-07,4.9,4.95,1.0204081632653024,0.9705447554588318
000001.SZ,2023-12-07,9.44,9.15,-3.072033898305076,0.01049581915140152
000017.SZ,2023-12-08,4.28,4.44,3.738317757009349,2.1501781940460205
000007.SZ,2023-12-08,4.84,4.98,2.892561983471086,1.001165747642517
000001.SZ,2023-12-08,9.3,9.21,-0.9677419354838694,0.6836519241333008
000011.SZ,2023-12-08,9.15,9.42,2.950819672131143,0.2787354290485382
000001.SZ,2023-12-14,9.15,9.17,0.2185792349726729,0.6196110248565674
000010.SZ,2023-12-15,3.22,3.1,-3.7267080745341645,0.8310055136680603
000009.SZ,2023-12-18,11.65,11.61,-0.3433476394849865,1.6621536016464233
000010.SZ,2023-12-18,3.18,3.07,-3.4591194968553554,1.6363352537155151
000001.SZ,2023-12-18,9.13,9.19,0.6571741511500407,1.3306615352630615
000012.SZ,2023-12-18,5.48,5.5,0.3649635036496272,0.13638073205947876
000009.SZ,2023-12-19,11.67,11.53,-1.199657240788351,1.7325133085250854
000001.SZ,2023-12-19,9.1,9.1,0.0,1.4892252683639526
000010.SZ,2023-12-19,3.16,3.03,-4.113924050632923,1.2780894041061401
000012.SZ,2023-12-19,5.48,5.41,-1.2773722627737276,0.2517068684101105
000016.SZ,2023-12-19,3.89,3.66,-5.912596401028277,0.050966255366802216
000019.SZ,2023-12-20,7.34,7.49,2.0435967302452362,2.3032619953155518
000001.SZ,2023-12-20,9.03,9.12,0.9966777408637859,1.9607692956924438
000010.SZ,2023-12-20,3.08,3.11,0.9740259740259676,1.9280955791473389
000009.SZ,2023-12-20,11.63,11.63,0.0,1.3382211923599243
000008.SZ,2023-12-20,2.38,2.34,-1.6806722689075646,1.0954331159591675
000019.SZ,2023-12-21,7.4,7.51,1.4864864864864789,2.0958828926086426
000008.SZ,2023-12-21,2.37,2.35,-0.8438818565400852,1.3613330125808716
000009.SZ,2023-12-21,11.62,11.77,1.2908777969018963,1.03166925907135
000008.SZ,2023-12-22,2.35,2.36,0.4255319148936079,1.8297176361083984
000019.SZ,2023-12-22,7.35,7.54,2.5850340136054477,1.829083800315857
000004.SZ,2023-12-22,15.99,16.13,0.875547217010624,1.7496963739395142
000016.SZ,2023-12-22,3.76,4.17,10.904255319148941,0.5735101103782654
