symbol,entry_date,exit_date,entry_price,exit_price,quantity,actual_return,predicted_return,hold_days,close_reason,position_closed
601555.SH,20230831,20230901,8.32,8.18,3737.1970247925137,-1.6826923076923146,9.657194137573242,2,stop_loss_next_open,full
000014.SZ,20230822,20230904,13.48,13.85,1153.9942674986248,2.744807121661715,8.707871437072754,10,short_trend_break_2x,full
600683.SH,20230817,20230905,7.08,7.43,2226.01555975771,4.943502824858752,9.499335289001465,14,short_trend_break_2x,full
600266.SH,20230904,20230905,7.06,6.68,4398.471138137292,-5.382436260623228,7.115088939666748,2,stop_loss,full
601136.SH,20230906,20230907,23.32,25.64,668.8023781731664,9.948542024013724,3.3778045177459717,2,take_profit,partial
002279.SZ,20230830,20230912,7.12,7.33,2194.3993332097266,2.9494382022471908,6.9535603523254395,10,take_profit,partial
601136.SH,20230906,20230912,23.32,23.53,668.8023781731664,0.9005145797598665,3.3778045177459717,5,short_trend_break_2x,full
603985.SH,20230911,20230912,25.27,25.15,1246.6666886216397,-0.4748713889988167,5.774361610412598,2,stop_loss,full
002279.SZ,20230830,20230913,7.12,7.03,2194.3993332097266,-1.2640449438202228,6.9535603523254395,11,short_trend_break_2x,full
603106.SH,20230913,20230914,7.3,7.22,4331.921577652445,-1.0958904109589052,6.470457553863525,2,stop_loss_next_open,full
603220.SH,20230915,20230922,23.3,26.65,675.4065695135752,14.377682403433468,7.156249046325684,6,take_profit,partial
000090.SZ,20230905,20230928,6.4,6.06,4878.699431015493,-5.3125000000000115,7.726562976837158,18,stop_loss,full
600272.SH,20230913,20231013,12.65,12.73,1249.9220362396384,0.6324110671936765,7.600446701049805,17,take_profit,partial
000700.SZ,20230925,20231013,6.94,8.49,2300.1778487684937,22.334293948126795,8.789994239807129,9,take_profit,partial
600272.SH,20230913,20231016,12.65,12.6,1249.9220362396384,-0.39525691699605303,7.600446701049805,18,short_trend_break_2x,full
600540.SH,20231018,20231019,5.8,5.59,5566.828796747212,-3.6206896551724133,9.37321662902832,2,stop_loss_next_open,full
000700.SZ,20230925,20231023,6.94,7.34,2300.1778487684937,5.763688760806908,8.789994239807129,15,short_trend_break_2x,full
002590.SZ,20231009,20231026,11.29,13.43,1398.9038889574654,18.954827280779458,12.513132095336914,14,take_profit,partial
601188.SH,20231016,20231101,4.1,3.93,7881.256344885442,-4.146341463414622,7.546763896942139,13,short_trend_break_2x,full
603220.SH,20230915,20231103,23.3,36.52,675.4065695135752,56.73819742489271,7.156249046325684,30,short_trend_break_2x,full
600186.SH,20231024,20231103,6.64,7.7,2441.5132882313833,15.963855421686754,10.305333137512207,9,take_profit,partial
002038.SZ,20231102,20231103,11.51,11.35,2846.5596728691435,-1.390095569070375,9.961589813232422,2,stop_loss_next_open,full
600186.SH,20231024,20231108,6.64,7.03,2441.5132882313833,5.873493975903623,10.305333137512207,12,short_trend_break_2x,full
603123.SH,20231106,20231109,13.08,12.54,2825.7780087912433,-4.128440366972484,20.040925979614258,4,stop_loss,full
600525.SH,20231106,20231122,5.29,5.35,3493.4949295831248,1.1342155009451722,10.692264556884766,12,take_profit,partial
002590.SZ,20231009,20231124,11.29,13.52,1398.9038889574654,19.751992914083264,12.513132095336914,33,short_trend_break_2x,full
000007.SZ,20231128,20231129,4.97,4.89,7765.67079223484,-1.6096579476861181,0.4348249137401581,2,stop_loss,full
000007.SZ,20231130,20231204,4.91,4.99,3917.6306623962714,1.629327902240327,0.3351878225803375,3,take_profit,partial
000007.SZ,20231130,20231205,4.91,4.95,3917.6306623962714,0.8146639511201635,0.3351878225803375,4,short_trend_break_2x,full
603168.SH,20231030,20231218,10.76,12.73,1535.2172143183905,18.308550185873614,7.84431791305542,32,take_profit,partial
600525.SH,20231106,20231218,5.29,4.99,3493.4949295831248,-5.671077504725894,10.692264556884766,27,stop_loss,full
603168.SH,20231030,20231222,10.76,10.33,1535.2172143183905,-3.9962825278810383,7.84431791305542,36,backtest_end,full
000598.SZ,20231110,20231222,5.47,5.66,6779.998140823132,3.4734917733089654,2.5659561157226562,27,backtest_end,full
000009.SZ,20231219,20231222,11.6,11.65,3349.781350946036,0.4310344827586268,0.5647051334381104,4,backtest_end,full
